Date,Inverter 5-Energy Inverter DC (daily),Inverter 5-Exported Energy Inverter AC (daily),Inverter 5-Power Inverter DC,Inverter 5-Power Inverter AC,Inverter 5-Current MPPT1 DC,Inverter 5-Current MPPT2 DC,Inverter 5-Current MPPT3 DC,Inverter 5-DC Output Current MPPT4,Inverter 5-Voltage MPPT1 DC,Inverter 5-Voltage MPPT2 DC,Inverter 5-Voltage MPPT3 DC,Inverter 5-Voltage MPPT4 DC
2023-01-01 00:15:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.03,0.00,1.27,3.15
2023-01-01 00:30:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.29,0.00,0.97,2.95
2023-01-01 00:45:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.18,0.00,0.58,2.60
2023-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.43,2.64
2023-01-01 01:15:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.99,0.00,0.36,2.29
2023-01-01 01:30:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.51,0.00,0.25,2.21
2023-01-01 01:45:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.28,0.00,0.18,1.84
2023-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.47,0.00,0.19,1.86
2023-01-01 02:15:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98,0.00,0.13,1.71
2023-01-01 02:30:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.88,0.00,0.09,1.38
2023-01-01 02:45:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.57,0.00,0.07,1.19
2023-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.22,0.00,0.06,1.21
2023-01-01 03:15:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.00,0.05,1.00
2023-01-01 03:30:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.02,0.98
2023-01-01 03:45:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.00,0.01,0.89
2023-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.00,0.04,0.80
2023-01-01 04:15:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.02,0.64
2023-01-01 04:30:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.01,0.66
2023-01-01 04:45:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.03,0.52
2023-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.02,0.43
2023-01-01 05:15:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.01,0.45
2023-01-01 05:30:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.22
2023-01-01 05:45:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.28
2023-01-01 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.21
2023-01-01 06:15:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.18
2023-01-01 06:30:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.19
2023-01-01 06:45:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.91,3.66,3.77,3.90
2023-01-01 07:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195.71,195.34,195.69,195.64
2023-01-01 07:15:00,0.85,0.83,3.41,3.32,6.43,0.00,0.00,0.00,516.27,516.20,516.36,516.30
2023-01-01 07:30:00,9.52,9.31,34.65,33.91,57.16,0.00,0.00,0.00,594.63,594.35,594.76,594.52
2023-01-01 07:45:00,32.37,31.79,91.42,89.94,139.21,0.00,0.00,0.00,654.32,654.33,654.63,654.34
2023-01-01 08:00:00,76.93,75.65,178.22,175.43,193.21,67.69,0.00,0.00,682.40,682.23,682.78,682.35
2023-01-01 08:15:00,145.06,142.71,272.51,268.25,197.24,195.56,0.00,0.00,693.19,693.13,693.67,693.42
2023-01-01 08:30:00,253.40,249.41,433.38,426.79,237.78,235.78,144.00,0.00,700.10,700.08,700.57,700.41
2023-01-01 08:45:00,448.44,441.42,780.16,768.04,276.92,274.54,274.88,255.94,720.23,720.20,720.63,720.44
2023-01-01 09:00:00,681.01,670.31,930.29,915.57,327.41,324.66,325.32,326.36,713.18,713.16,713.48,713.48
2023-01-01 09:15:00,862.51,848.97,725.97,714.64,258.88,256.90,257.54,258.57,701.96,701.94,702.20,702.16
2023-01-01 09:30:00,1019.99,1004.02,629.93,620.21,224.34,222.63,223.14,224.17,703.90,703.68,704.13,703.78
2023-01-01 09:45:00,1212.11,1193.17,768.51,756.60,271.96,269.76,270.35,271.91,708.61,708.40,708.86,708.55
2023-01-01 10:00:00,1504.62,1480.88,1170.01,1150.82,416.15,412.16,413.10,415.69,706.23,706.14,706.63,706.29
2023-01-01 10:15:00,1835.54,1806.25,1323.71,1301.48,479.19,474.63,475.89,478.78,693.63,693.37,693.91,693.53
2023-01-01 10:30:00,2192.58,2157.14,1428.15,1403.58,520.56,515.17,516.84,519.73,689.09,688.87,689.32,689.03
2023-01-01 10:45:00,2572.95,2530.83,1521.47,1494.75,557.48,551.22,553.15,556.45,685.78,685.74,686.08,685.81
2023-01-01 11:00:00,2962.62,2913.56,1558.69,1530.91,574.99,568.27,570.24,573.70,681.34,681.24,681.53,681.28
2023-01-01 11:15:00,3247.21,3193.17,1138.37,1118.45,421.92,417.64,419.10,421.88,673.94,673.73,674.27,673.76
2023-01-01 11:30:00,3594.18,3533.86,1387.87,1362.77,507.33,501.93,503.69,506.81,683.80,683.72,684.18,683.94
2023-01-01 11:45:00,3995.23,3927.43,1604.21,1574.29,599.26,592.59,594.34,597.62,672.71,672.38,673.08,672.48
2023-01-01 12:00:00,4250.75,4178.67,1022.08,1004.95,389.32,380.62,378.15,378.47,673.12,672.65,673.28,673.00
2023-01-01 12:15:00,4555.43,4477.78,1218.71,1196.44,449.78,444.76,446.44,448.42,679.02,678.77,679.31,678.91
2023-01-01 12:30:00,4900.18,4816.36,1379.00,1354.31,520.10,514.32,516.08,518.17,665.36,665.27,665.75,665.46
2023-01-01 12:45:00,4900.18,4816.36,,,,,,,,,,
2023-01-01 13:00:00,5245.07,5154.91,1379.57,1354.22,523.91,517.96,519.55,522.00,661.79,661.73,662.09,661.78
2023-01-01 13:15:00,5651.91,5553.87,1627.35,1595.84,623.16,615.61,617.92,620.29,653.01,652.83,653.28,652.93
2023-01-01 13:30:00,6127.89,6020.92,1903.94,1868.20,726.49,717.37,719.70,723.06,660.42,660.52,660.86,660.61
2023-01-01 13:45:00,6613.21,6497.18,1941.29,1905.03,749.65,740.33,742.75,746.29,651.58,651.57,651.94,651.68
2023-01-01 14:00:00,7043.21,6919.31,1719.97,1688.50,658.22,650.44,652.27,655.76,656.19,656.25,656.63,656.33
2023-01-01 14:15:00,7500.11,7367.86,1827.61,1794.22,698.29,689.82,691.79,695.43,658.54,658.23,658.87,658.39
2023-01-01 14:30:00,7960.26,7819.62,1840.61,1807.02,698.75,690.11,692.48,695.67,662.62,662.65,662.96,662.81
2023-01-01 14:45:00,8346.54,8199.09,1545.11,1517.88,579.31,572.89,574.92,577.63,670.03,669.82,670.42,670.01
2023-01-01 15:00:00,8777.52,8622.37,1723.95,1693.13,643.64,636.02,638.20,641.11,673.46,673.35,673.74,673.53
2023-01-01 15:15:00,9147.59,8986.11,1480.28,1454.95,550.11,543.77,545.78,547.87,676.24,676.11,676.58,676.25
2023-01-01 15:30:00,9533.70,9365.59,1544.42,1517.92,574.38,567.88,569.60,572.39,675.95,675.73,676.35,675.86
2023-01-01 15:45:00,9888.72,9714.58,1420.07,1395.98,522.53,516.62,518.33,520.83,681.80,681.68,682.10,681.86
2023-01-01 16:00:00,10240.55,10060.58,1407.34,1383.99,515.92,510.20,511.97,514.39,685.68,685.51,685.99,685.66
2023-01-01 16:15:00,10559.77,10374.61,1276.89,1256.10,465.33,460.50,462.34,463.95,689.28,689.27,689.65,689.36
2023-01-01 16:30:00,10852.52,10662.56,1170.98,1151.81,423.21,418.77,420.66,421.90,695.03,695.00,695.42,695.13
2023-01-01 16:45:00,11113.21,10919.05,1042.74,1025.98,374.36,370.55,372.16,373.24,699.49,699.54,699.85,699.67
2023-01-01 17:00:00,11345.46,11147.63,929.01,914.31,332.64,329.39,330.81,331.72,701.26,701.05,701.56,701.18
2023-01-01 17:15:00,11545.24,11344.32,799.15,786.74,284.89,282.03,283.32,284.05,704.38,704.23,704.79,704.38
2023-01-01 17:30:00,11712.22,11508.75,667.89,657.72,237.20,234.97,235.99,236.66,706.82,706.54,707.17,706.69
2023-01-01 17:45:00,11847.48,11641.90,541.06,532.63,191.75,190.09,191.04,191.48,707.68,707.34,708.04,707.45
2023-01-01 18:00:00,11947.72,11740.48,400.96,394.30,142.52,141.25,142.16,142.37,705.11,705.15,705.48,705.31
2023-01-01 18:15:00,12015.03,11806.56,269.24,264.32,96.42,95.55,96.33,96.50,698.85,698.88,699.12,698.94
2023-01-01 18:30:00,12052.82,11843.44,151.16,147.51,55.27,54.76,55.25,55.29,683.38,683.45,683.70,683.52
2023-01-01 18:45:00,12065.35,11855.62,50.11,48.73,19.33,19.29,19.35,19.30,639.87,639.67,640.13,639.80
2023-01-01 19:00:00,12068.83,11859.00,13.94,13.50,5.86,5.92,5.89,5.84,583.79,583.78,583.88,583.79
2023-01-01 19:15:00,12069.34,11859.47,2.01,1.91,0.79,1.34,0.66,0.74,543.40,543.34,543.54,543.41
2023-01-01 19:30:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,239.79,239.75,239.79,239.77
2023-01-01 19:45:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,14.83,7.71,8.02,9.51
2023-01-01 20:00:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,11.46,0.03,0.64,3.26
2023-01-01 20:15:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,12.02,0.03,1.76,3.73
2023-01-01 20:30:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,11.94,0.09,2.40,3.93
2023-01-01 20:45:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,12.18,0.04,3.31,4.22
2023-01-01 21:00:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,11.91,0.04,3.27,4.22
2023-01-01 21:15:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,11.88,0.06,3.05,4.29
2023-01-01 21:30:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,11.52,0.02,2.79,3.97
2023-01-01 21:45:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,11.19,0.02,2.84,4.03
2023-01-01 22:00:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,10.42,0.00,2.25,3.84
2023-01-01 22:15:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,9.98,0.00,1.96,3.76
2023-01-01 22:30:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,9.74,0.01,1.66,3.76
2023-01-01 22:45:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,8.92,0.01,1.32,3.37
2023-01-01 23:00:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,7.95,0.00,1.07,3.47
2023-01-01 23:15:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,7.12,0.00,0.81,2.99
2023-01-01 23:30:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,6.53,0.00,0.63,2.84
2023-01-01 23:45:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,5.79,0.00,0.43,2.65
2023-01-02 00:00:00,12069.34,11859.47,0.00,0.00,0.00,0.00,0.00,0.00,5.63,0.00,0.44,2.53
