Time,UNIT#MN INVERTER#2(2854)/Total DC power(kW),UNIT#MN INVERTER#2(2854)/Total active power(kW),UNIT#CD INVERTER#2(2824)/Total DC power(kW),UNIT#CD INVERTER#2(2824)/Total active power(kW),UNIT#O INVERTER#1(2861)/Total DC power(kW),UNIT#O INVERTER#1(2861)/Total active power(kW),UNIT#EF INVERTER#3(2868)/Total DC power(kW),UNIT#EF INVERTER#3(2868)/Total active power(kW),UNIT#EF INVERTER#2(2867)/Total DC power(kW),UNIT#EF INVERTER#2(2867)/Total active power(kW),UNIT#KL INVERTER#3(2848)/Total DC power(kW),UNIT#KL INVERTER#3(2848)/Total active power(kW),UNIT#KL INVERTER#2(2847)/Total DC power(kW),UNIT#KL INVERTER#2(2847)/Total active power(kW),UNIT#CD INVERTER#3(2825)/Total DC power(kW),UNIT#CD INVERTER#3(2825)/Total active power(kW),UNIT#GH INVERTER#2(2817)/Total DC power(kW),UNIT#GH INVERTER#2(2817)/Total active power(kW),UNIT#KL INVERTER#1(2846)/Total DC power(kW),UNIT#KL INVERTER#1(2846)/Total active power(kW),UNIT#KL INVERTER#4(2849)/Total DC power(kW),UNIT#KL INVERTER#4(2849)/Total active power(kW),UNIT#AB INVERTER#3(2833)/Total DC power(kW),UNIT#AB INVERTER#3(2833)/Total active power(kW),UNIT#GH INVERTER#4(2819)/Total DC power(kW),UNIT#GH INVERTER#4(2819)/Total active power(kW),UNIT#MN INVERTER#1(2853)/Total DC power(kW),UNIT#MN INVERTER#1(2853)/Total active power(kW),UNIT#AB INVERTER#4(2834)/Total DC power(kW),UNIT#AB INVERTER#4(2834)/Total active power(kW),UNIT#GH INVERTER#3(2818)/Total DC power(kW),UNIT#GH INVERTER#3(2818)/Total active power(kW),UNIT#CD INVERTER#1(2823)/Total DC power(kW),UNIT#CD INVERTER#1(2823)/Total active power(kW),UNIT#IJ INVERTER#1(2838)/Total DC power(kW),UNIT#IJ INVERTER#1(2838)/Total active power(kW),UNIT#AB INVERTER#1(2831)/Total DC power(kW),UNIT#AB INVERTER#1(2831)/Total active power(kW),UNIT#MN INVERTER#4(2856)/Total DC power(kW),UNIT#MN INVERTER#4(2856)/Total active power(kW),UNIT#IJ INVERTER#3(2840)/Total DC power(kW),UNIT#IJ INVERTER#3(2840)/Total active power(kW),UNIT#EF INVERTER#1(2866)/Total DC power(kW),UNIT#EF INVERTER#1(2866)/Total active power(kW),UNIT#O INVERTER#2(2862)/Total DC power(kW),UNIT#O INVERTER#2(2862)/Total active power(kW),UNIT#EF INVERTER#4(2869)/Total DC power(kW),UNIT#EF INVERTER#4(2869)/Total active power(kW),UNIT#IJ INVERTER#4(2841)/Total DC power(kW),UNIT#IJ INVERTER#4(2841)/Total active power(kW),UNIT#CD INVERTER#4(2826)/Total DC power(kW),UNIT#CD INVERTER#4(2826)/Total active power(kW),UNIT#MN INVERTER#3(2855)/Total DC power(kW),UNIT#MN INVERTER#3(2855)/Total active power(kW),UNIT#IJ INVERTER#2(2839)/Total DC power(kW),UNIT#IJ INVERTER#2(2839)/Total active power(kW),UNIT#GH INVERTER#1(2816)/Total DC power(kW),UNIT#GH INVERTER#1(2816)/Total active power(kW)
25/1/2026 0:00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25/1/2026 0:05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25/1/2026 0:10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25/1/2026 0:15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25/1/2026 0:20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25/1/2026 0:25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25/1/2026 0:30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25/1/2026 0:35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25/1/2026 0:40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25/1/2026 0:45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25/1/2026 0:50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25/1/2026 0:55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25/1/2026 1:00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25/1/2026 1:05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25/1/2026 1:10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25/1/2026 1:15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
