meterName,meterNo,dateTime,importActiveEnergyT,currentA,currentB,currentC,voltageL12,voltageL23,voltageL31,voltageA,voltageB,voltageC,activePowerT,activePowerA,activePowerB,activePowerC,powerFactorA,powerFactorB,powerFactorC,powerFactorT
SSB-5,1,2025-05-01 00:00:00,121.755,0.068,1.469,1.495,430.050,431.395,435.449,249.045,248.191,251.365,0.021,0.141,0.206,0.002,0.973,0.563,-0.842,nan
SSB-E5,2,2025-05-01 00:00:00,6637.862,1.129,0.671,1.270,428.667,431.912,435.033,249.654,248.593,251.520,0.731,0.338,0.087,0.144,-0.177,-0.631,-0.701,nan
SSB-G,1,2025-05-01 00:00:00,8443.106,nan,0.315,0.148,426.715,428.433,428.844,246.875,246.236,248.407,0.377,0.333,0.044,0.000,0.856,-0.571,0.000,nan
DB-M,3,2025-05-01 00:00:00,17565.394,nan,nan,3.720,425.874,nan,nan,246.890,nan,248.456,1.084,nan,0.142,nan,0.484,nan,-0.984,nan
SSB-2,1,2025-05-01 00:00:00,1945.749,3.161,5.254,3.632,426.019,424.934,429.589,245.925,245.271,248.252,2.835,0.759,1.265,0.810,-0.977,0.982,-0.898,nan
DB-E6,3,2025-05-01 00:00:00,6404.506,0.753,1.158,1.215,429.540,431.912,435.867,249.315,248.417,251.289,0.259,0.093,0.102,0.064,-0.497,-0.353,-0.211,nan
DB-6,4,2025-05-01 00:00:00,228.552,0.818,0.000,1.205,429.003,431.525,435.684,248.962,247.926,251.503,0.359,0.184,0.000,0.174,0.904,0.000,0.575,nan
MSB-1,57,2025-05-01 00:00:00,14360165.400,2.115,2.348,2.154,410.660,412.200,413.440,239.040,237.860,240.240,1.512,0.486,0.538,0.488,0.957,0.963,0.943,0.955
SSB-G,1,2025-05-01 00:30:00,8443.249,2.589,0.308,0.000,420.579,422.730,423.099,243.730,243.141,245.668,0.487,0.444,0.043,0.000,0.703,-0.571,0.000,nan
SSB-EG,2,2025-05-01 00:30:00,31825.950,13.776,nan,2.688,419.981,422.039,425.865,243.493,242.535,246.035,5.992,0.000,2.039,0.656,-0.983,0.974,nan,nan
MSB-1,57,2025-05-01 00:30:00,14360350.400,2.072,2.276,2.138,414.040,415.600,416.820,241.040,239.840,242.160,1.492,0.478,0.526,0.488,0.956,0.964,0.942,0.954
SSB-2,1,2025-05-01 00:30:00,1946.989,2.067,4.744,2.973,420.993,419.723,425.087,243.399,242.338,245.823,2.258,0.477,1.129,0.652,-0.948,0.982,-0.892,nan
SSB-G,1,2025-05-01 01:00:00,8443.492,2.718,0.302,0.000,422.305,424.676,424.945,244.602,243.871,246.485,0.519,0.477,0.042,0.000,0.717,-0.568,0.000,nan
SSB-2,1,2025-05-01 01:00:00,1948.074,1.740,4.368,2.946,421.999,421.696,426.417,244.300,243.187,246.644,2.107,0.405,1.048,0.655,-0.952,0.986,-0.902,nan
DB-6,4,2025-05-01 01:00:00,228.909,0.813,0.000,1.219,418.845,421.302,425.255,242.991,242.087,245.525,0.353,0.181,0.000,0.172,0.914,0.000,0.576,nan
DB-E6,3,2025-05-01 01:00:00,6405.096,2.034,3.000,1.190,419.446,421.770,425.585,243.409,242.598,245.395,0.842,0.276,0.506,0.060,-0.557,0.695,-0.219,nan
SSB-E5,2,2025-05-01 01:00:00,6638.214,1.105,0.667,1.885,418.739,421.691,424.430,243.780,242.566,245.426,0.272,0.051,0.064,0.323,-0.168,-0.654,-0.698,nan
SSB-5,1,2025-05-01 01:00:00,121.771,0.068,1.424,1.505,420.061,421.389,425.301,243.347,242.334,245.683,0.023,0.016,0.202,0.002,0.982,0.587,0.802,nan
MSB-1,57,2025-05-01 01:00:00,14360519.400,1.571,1.615,1.512,418.260,420.160,421.540,243.460,242.580,244.860,1.107,0.370,0.383,0.355,0.966,0.975,0.957,0.967
MSB-1,57,2025-05-01 01:30:00,14360623.300,1.000,1.087,0.902,416.660,418.820,420.140,242.540,241.720,244.260,0.711,0.236,0.258,0.213,-0.970,0.981,0.969,0.974
SSB-EG,2,2025-05-01 01:30:00,31833.634,nan,nan,6.758,419.839,nan,nan,243.341,nan,245.859,nan,5.749,nan,0.684,nan,0.973,0.989,nan
SSB-G,1,2025-05-01 01:30:00,8443.692,2.558,0.271,0.000,420.528,423.218,423.137,243.928,243.127,245.772,0.442,0.442,0.000,0.000,0.708,0.000,0.000,nan
SSB-E2A,3,2025-05-01 01:30:00,14738.308,1.976,2.014,2.828,420.304,423.023,424.932,243.591,242.743,245.403,5.146,0.479,0.488,0.624,-0.954,0.977,-0.919,nan
SSB-E2,2,2025-05-01 01:30:00,18721.640,6.381,6.551,10.861,420.000,422.068,424.213,243.798,242.999,245.596,5.493,0.199,0.739,2.437,0.952,0.989,0.914,nan
SSB-2,1,2025-05-01 01:30:00,1949.153,1.648,4.339,3.168,420.872,420.537,425.376,243.363,242.733,245.915,2.125,0.386,1.040,0.699,-0.961,0.988,0.897,nan
SSB-2,1,2025-05-01 02:00:00,1950.171,1.656,3.784,2.029,420.553,420.410,426.021,243.485,242.704,245.994,1.731,0.388,0.913,0.430,-0.962,0.994,-0.861,nan
SSB-E2,2,2025-05-01 02:00:00,6491.363,1.064,1.819,9.666,419.560,424.017,424.664,243.742,242.728,246.105,5.074,1.435,1.540,2.098,0.949,0.983,0.884,nan
SSB-G,1,2025-05-01 02:00:00,8443.913,2.365,0.255,0.133,421.250,423.732,424.118,243.910,243.323,245.933,0.395,0.395,0.000,0.000,0.686,0.000,0.000,nan
SSB-EG,2,2025-05-01 02:00:00,31838.036,23.901,11.785,nan,420.019,422.583,426.376,243.510,nan,nan,nan,5.755,2.628,nan,nan,nan,0.989,nan
